id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,days_since_prev_campaign_contact,num_contacts_prev_campaign,prev_campaign_outcome,term_deposit_subscribed,profile_collection_moment,latest_profile_change
id_32289,34,blue-collar,married,secondary,no,934.0,no,yes,cellular,18,nov,143.0,2.0,132.0,1,other,0,28/08/2018,01/08/2020
id_2153,52,blue-collar,married,tertiary,no,1779.0,no,no,cellular,19,nov,1195.0,3.0,160.0,1,failure,0,10/07/2018,28/11/2019
id_43255,50,management,married,secondary,no,4873.0,no,no,telephone,6,feb,381.0,6.0,213.0,9,failure,0,08/11/2018,29/12/2020
id_12246,42,management,married,tertiary,no,55.0,yes,no,cellular,17,nov,57.0,1.0,126.0,3,failure,0,26/11/2018,30/04/2019
id_31616,41,technician,married,secondary,no,-3.0,yes,no,cellular,16,apr,138.0,1.0,300.0,1,failure,0,21/09/2018,02/06/2019
id_34844,38,technician,divorced,secondary,no,528.0,no,no,cellular,29,jan,212.0,3.0,226.0,7,failure,0,18/12/2018,04/08/2019
id_33225,61,admin.,married,primary,no,882.0,yes,no,cellular,30,jan,113.0,5.0,259.0,7,failure,0,07/07/2018,20/07/2020
id_31654,31,admin.,married,secondary,no,93.0,yes,no,cellular,18,may,145.0,2.0,364.0,1,success,0,26/02/2018,22/05/2020
id_38719,20,housemaid,single,secondary,no,649.0,yes,no,cellular,14,may,131.0,1.0,367.0,4,failure,0,08/06/2018,23/12/2020
id_44317,54,management,married,tertiary,no,1459.0,no,no,cellular,2,oct,195.0,2.0,94.0,1,success,1,01/12/2018,21/07/2020
id_16413,64,retired,married,primary,no,50.0,no,no,cellular,9,sep,162.0,3.0,92.0,1,success,1,21/02/2018,17/12/2020
id_13459,30,self-employed,married,secondary,no,580.0,yes,no,cellular,13,oct,834.0,1.0,152.0,6,failure,0,25/10/2018,27/05/2020
id_27615,49,blue-collar,married,secondary,no,74.0,yes,no,cellular,11,may,182.0,1.0,370.0,1,failure,0,29/05/2018,27/12/2019
id_43038,32,technician,divorced,secondary,no,-5.0,no,no,cellular,29,jan,131.0,2.0,164.0,4,other,0,18/02/2018,24/12/2020
id_10257,30,management,single,tertiary,no,39.0,yes,no,cellular,15,may,900.0,3.0,352.0,2,other,1,20/03/2018,08/01/2020
id_5286,27,entrepreneur,single,tertiary,no,218.0,yes,no,cellular,18,may,67.0,2.0,356.0,1,failure,0,20/11/2018,25/11/2019
id_44124,41,technician,single,tertiary,no,-93.0,yes,no,cellular,3,feb,186.0,4.0,251.0,4,failure,0,15/06/2018,17/04/2019
id_28215,39,blue-collar,single,secondary,no,164.0,yes,no,cellular,20,apr,209.0,1.0,346.0,1,failure,0,29/05/2018,20/12/2019
id_6183,35,services,married,secondary,no,0.0,yes,no,cellular,12,jun,110.0,4.0,318.0,6,failure,0,09/03/2018,27/07/2019
id_36265,34,technician,married,tertiary,no,198.0,no,no,cellular,1,oct,255.0,1.0,122.0,2,failure,0,18/04/2018,23/01/2019
id_676,29,management,single,tertiary,no,878.0,yes,no,cellular,16,mar,245.0,1.0,181.0,2,success,1,23/09/2018,18/06/2019
