trip_id,duration_in_minutes,start_time,end_time,starting_station_id,ending_stating_id,bike_id,trip_route_category,passholder_type,kilometers_travelled,battery_level_at_start,battery_level_at_the_end,maximum_speed,minimum_speed,average_speed,new_user,damaged_bike
18222186,15060,19/01/2017 17:05,19/01/2017 21:16,3031,3000,5944,One Way,Walk-up,13.15,63,35,7.93,2.27,6.0,False,True
20444932,86400,18/02/2017 10:15,20/02/2017 15:20,3026,3000,5879,One Way,Walk-up,11.61,49,88,6.02,1.85,7.6,True,False
20905031,18840,27/02/2017 12:26,27/02/2017 17:40,3023,3000,6056,One Way,Walk-up,9.25,91,38,7.52,2.33,9.85,True,False
21031476,86400,27/02/2017 20:26,01/03/2017 9:49,3008,3000,6054,One Way,Flex Pass,21.86,95,32,10.83,4.44,6.74,False,True
21784648,14760,10/03/2017 17:38,10/03/2017 21:44,3065,3000,5923,One Way,Walk-up,17.9,79,39,10.16,3.93,9.14,True,False
22506739,79020,17/03/2017 19:20,18/03/2017 17:17,3063,3000,5810,One Way,Walk-up,14.65,96,46,14.93,1.03,5.77,False,False
20889067,86400,26/02/2017 12:18,27/02/2017 12:36,3062,3000,5951,One Way,Walk-up,2.31,52,95,14.7,1.52,6.97,False,False
18481915,600,23/01/2017 18:48,23/01/2017 18:58,3082,3000,6492,One Way,Monthly Pass,13.41,80,14,13.42,3.91,6.12,False,True
19858915,56100,11/02/2017 16:59,12/02/2017 8:34,3036,3000,6357,One Way,Monthly Pass,10.1,85,99,7.88,2.8,9.04,True,False
19403230,480,05/02/2017 9:43,05/02/2017 9:51,3064,3000,6478,One Way,Monthly Pass,12.33,82,53,14.33,0.4,5.63,True,True
18732968,480,27/01/2017 19:55,27/01/2017 20:03,3063,3000,6681,One Way,Monthly Pass,26.84,21,85,6.85,2.37,5.07,False,True
20298819,780,18/02/2017 12:39,18/02/2017 12:52,3014,3000,6523,One Way,Flex Pass,8.21,90,16,7.01,0.32,9.25,False,True
18772045,60600,27/01/2017 19:15,28/01/2017 12:05,3069,3000,6213,One Way,Monthly Pass,9.2,70,57,9.85,1.63,6.41,True,True
21369192,1380,05/03/2017 18:35,05/03/2017 18:58,3078,3000,6373,One Way,Walk-up,27.09,47,78,14.55,4.58,6.93,True,True
22579585,1860,19/03/2017 12:24,19/03/2017 12:55,3014,3000,6641,One Way,Walk-up,18.11,89,47,14.55,0.88,9.36,True,True
23348765,64740,27/03/2017 17:26,28/03/2017 11:25,3040,3000,6048,One Way,Walk-up,7.75,62,88,12.56,1.32,7.77,True,True
19350050,51660,04/02/2017 3:15,04/02/2017 17:36,3049,3000,6547,One Way,Monthly Pass,10.85,49,87,6.15,0.61,6.83,False,False
18324185,900,21/01/2017 11:25,21/01/2017 11:40,3037,3000,6635,One Way,Flex Pass,6.36,78,60,5.65,1.59,8.83,True,True
22219074,11580,15/03/2017 13:41,15/03/2017 16:54,3068,3000,6299,One Way,Walk-up,1.3,70,6,6.35,3.12,5.26,False,True
21653845,1080,09/03/2017 7:36,09/03/2017 7:54,3052,3000,6515,One Way,Monthly Pass,22.45,23,92,8.07,3.68,5.2,False,True
17891894,10980,14/01/2017 11:28,14/01/2017 14:31,3007,3000,6401,One Way,Walk-up,22.8,15,24,7.8,1.07,7.91,True,False
